,Topic_24,Topic_37,Topic_49,Topic_36,Topic_34,Topic_2,Topic_29,Topic_41,Topic_25,Topic_9,Topic_44,Topic_20,Topic_33,Topic_11,Topic_12,Topic_19,Topic_47,Topic_31,Topic_39,Topic_7
CREM,0.1640515844963963,0.26666145163400556,0.18788115023238042,0.17733272890494647,0.5646753561348823,0.0,0.5707887001383909,0.10650436742086314,0.29854273723264957,0.7159544114722831,0.1754176830256913,0.22634185780378893,1.0,0.19030190531478378,0.261192182779276,0.3614112533081387,0.21384955003255626,0.5911862174624022,0.493848904554019,0.545655485985351
CUX2,1.0000000000000002,0.31629929613582375,0.7668042236860553,0.16786179584148556,0.3069124480037072,0.09513828138495062,0.09493039541388319,0.3639165207052084,0.03849720741808277,0.022158388818296872,0.05360484437685632,0.0,0.04995944728682322,0.11434364915758617,0.04652227624235081,0.06671230318398122,0.11897984507688304,0.04503533913833334,0.42167067297957206,0.03596574117580881
DDIT3,0.056536514515374336,0.07372145860918211,0.05716188508840095,0.02423137271158916,0.0,0.09957079592671599,0.05088536748646713,0.10977697878871003,0.0990679975964306,0.05137798984668375,0.048479502721458526,0.029965952816669677,0.018890783320312413,1.0,0.19627326168860612,0.2741792913562539,0.017954485170641517,0.038160938852127735,0.14005824423391625,0.06793137762980324
DMRT2,0.2996709838581093,0.30285127295603304,0.03520954420699386,0.045306618965016206,0.2060494080541412,0.16749674245823507,0.27688524512298895,0.10987223421362653,0.05469753937056916,0.0840542461535906,0.050083403193656915,0.0,0.01811745363543253,0.08178130599047834,0.019608508216420385,0.015063764386768994,0.012192513347085604,0.08733985117707374,0.9999999999999999,0.17643508433779526
DPF3,0.7857724762430427,0.9833327724262819,0.20240039718022831,0.06341718189534826,0.23512918024074814,0.1358332714290691,0.39569251818811996,0.31821938490002183,0.060160237720475795,0.9169265789548908,0.29576502436035235,0.6656052107759467,1.0,0.15191536665593475,0.15045803144042671,0.37987701677223673,0.0,0.7672104782888307,0.4271150570546011,0.24699067853589313
EBF1,0.7281304216862039,0.04772524303432,0.07700102674857508,1.0,0.07683072695839861,0.09346131516358291,0.26432612929983695,0.7843649040853394,0.33447210999942395,0.024923196781046375,0.1027975254416444,0.0,0.007183915185813401,0.04482504577912645,0.3015482201210829,0.12287238933716482,0.033596418855690334,0.021287083157603824,0.1431409941602388,0.05647786220988737
EBF2,0.1464197265108642,0.020853556980447635,0.016050066932133268,0.604641723260407,0.017329438543216807,0.7508511848075369,0.7157692642754534,1.0,0.03811696754262444,0.00904536674646805,0.01877697609177324,0.0,0.10081246636800766,0.02340181059682895,0.09232822073525793,0.07235123600239089,0.04196016946209312,0.014073604332279398,0.05006963389658736,0.004126824520330588
EBF3,0.09090833505647794,0.02713086599902092,0.04348626090653292,1.0,0.1093325188561684,0.041077272866121596,0.027118747131459703,0.051357292907709996,0.08995911336383651,0.005484696191629221,0.018226800525453585,0.004062891240592095,0.0,0.015636404225150818,0.020640069757921386,0.002324698284479812,0.10421630526757017,0.015293301125773547,0.028288524698923553,0.02009585552140057
EGR1,0.029220163802986275,0.047723918514498705,0.2586049246486918,0.0,0.09397132231924271,0.0011836619918173183,0.9999999999999999,0.7464938995856708,0.2607910480272791,0.21286142439961997,0.1002088226506253,0.2696374276966646,0.6233107753685165,0.7173638187452287,0.3546378942325013,0.714665942528147,0.051509839814507345,0.6733750074714357,0.19372211446763876,0.24623753056773945
EGR2,0.0,0.01175715426374994,0.011718381905575889,0.044167173868882706,0.08141179232318259,0.16388395072870887,0.2667991784472049,0.2464308634531076,0.17026413995322207,0.18433337662228447,0.06013753084955434,0.007761612586287454,0.24550080497957932,0.9999999999999999,0.1806722562515272,0.7882965365310654,0.04261720258965368,0.3229232033821671,0.19227438507849107,0.2351508993160767
EGR3,0.09191890454920623,0.060353405287657286,0.21376706247571653,0.01042876241054843,0.025620309634108072,0.009004469287859444,0.5961085842557551,0.28486762255746845,0.15920016881692864,0.14204121510838072,0.04679292589404972,0.005479546322828217,0.3881172434644692,0.6577764550308751,0.3187993586817307,1.0,0.0,0.3641648662110163,0.25086288550892205,0.2667605997762513
EHF,0.030203188703951684,0.010412986480093513,0.0307988429758414,0.0,0.08982372073650366,0.1881359234057235,0.13069724163832147,0.08051385495234187,0.13137621978207456,0.016495478008721507,0.43359017333632716,0.005247425016296472,0.44401137430038856,0.5304326638408824,0.1609316035457815,0.3329804871212835,0.31371137144709715,0.14537883427235052,1.0,0.2667558405002587
ELF1,0.0,0.0010085503462316375,0.09765075685234133,0.1202085644542923,0.15339308877387786,1.0,0.16340659570967686,0.1303328077770335,0.3817395759513754,0.39586140962237093,0.341782364542482,0.3124256678119931,0.47162630911753817,0.3131429285261445,0.29906007063976836,0.5806674888084851,0.28485925805895584,0.35731074206483543,0.5093442710255311,0.5928282240958714
ELF4,0.0,0.05119827313621314,0.24488448530668744,0.013543880101596795,0.03847862525096617,0.003354716765315638,0.195774681811841,0.011048638034562477,0.07963874834504704,0.33721758892534476,0.14371065412334966,0.0018129883677472924,0.4375634504641007,0.7466043191362915,0.41296740949339245,0.748953716455504,0.3962032997247865,0.2797502657941215,0.12735154674761257,0.9999999999999999
EMX2,0.0,0.007020106299346695,0.006914328619363941,0.466571120747568,0.0004042027704309835,0.017371572462889853,0.012045533656553168,0.000284882878776453,0.04196649535574692,0.10936743362297269,0.23728262850708706,0.2015797891805884,0.02998236514933978,0.5049975039644942,0.9999999999999999,0.24947158515203893,0.06363243517328182,0.10865722907326232,0.18409646917034928,0.04541882328245206
EOMES,0.551630160078318,0.1085928779144337,0.9284876015264951,0.19672524704133862,0.0,0.0,0.11905551083834644,0.11457338815421765,0.05876616887972295,0.7423737985342947,0.0,0.1175115580366138,0.5134120470418556,1.0,0.0,0.0,0.0,0.4901320953650624,0.0,0.4935508005979994
EPAS1,0.012453459747016756,0.0247438319432135,0.002947117570494215,0.0,0.033799912344817926,0.005027463040178258,0.08487485828513425,0.008351631301136432,0.06451498058759268,0.33054042767232605,0.08397084019671694,0.19984108991594782,0.6635085941661225,0.7692206063590592,1.0000000000000002,0.8414418109314159,0.03993208467799823,0.41174768633538494,0.19745017229362863,0.0925408926198557
ERG,0.09768295103423971,0.08843808794097927,0.04026457436567733,0.08269954999837537,0.024773844893178187,0.04475187312918378,0.06103461558481119,0.07859099020152854,0.09990556217579846,0.04081575694304178,0.10952946153591261,0.0,0.23198423053310313,0.18737322407490897,0.13567878249190427,1.0,0.25755959184868604,0.06556132648430832,0.2233178076543729,0.0651997589067452
ESR1,0.08969218017908553,0.1787076576674101,0.401170876575348,0.0015904325336206782,0.0,0.11055607876536766,0.01172246851218936,0.017773653400897205,0.3721299072722414,0.029335344863317903,0.6026885202968032,0.003567807459083583,0.026236217476364593,0.692090717012075,0.7511299806741194,0.2261972019861676,1.0,0.10810392770758637,0.15661043455638912,0.9095929598439966
ESR2,0.11652110920115016,0.07648502700389798,0.15386204210291143,0.1465506743388989,0.1610885958749657,0.0,0.2737449330796838,0.14260488616286643,0.10922455540447645,0.9999999999999999,0.08700780452782964,0.08184763668487727,0.4573991665677015,0.026698729266195154,0.19745633617693203,0.6643880032301982,0.12501837110261022,0.4912701446384722,0.018520091734458594,0.3181436779490754
ESRRB,0.17351712123656726,0.0,0.4901343569170249,0.2783026573125885,0.7022113008920865,1.0,0.7174942781212919,0.19857506239009137,0.49486354106423913,0.920079964581435,0.0459024912925719,0.2047709759633839,0.8532275578253137,0.0007726760411101985,0.37889614338249367,0.7762899788254407,0.9056521367553836,0.4028823507536651,0.415474294652741,0.5416403185272339
ESRRG,0.49219847339860534,0.6593061360257298,0.9999999999999999,0.08859547151186804,0.28275437591691555,0.0063751258320189075,0.4306719670391306,0.5424482009048246,0.11204812705388646,0.4785335609604322,0.36085776567870514,0.7063668932756034,0.4745471138759614,0.0,0.2593439246393209,0.0641823312719176,0.148133010981491,0.47691934891420573,0.7150906144187643,0.41958753167213714
ETS1,0.09667134845023453,0.0,0.43694634763523743,0.1682683938881917,0.5530103885269748,0.44280107664207,0.5001754551718378,0.34251796250388733,0.5429510802207386,0.18943149853233,0.14433820705379094,0.0749723459855207,0.2852225422966793,0.8518510819114775,0.3421275442484242,1.0000000000000002,0.37039711906219375,0.21506637885003552,0.14784405560075628,0.2390747630062204
ETS2,0.1757985290999937,0.3232785637193865,0.02511032775480428,0.5980888577411435,0.2673607347280479,0.6754047484818554,0.22835109150494248,0.28340265941147724,0.637222700666898,0.04332369381623949,0.0615112765862557,0.0,0.16429616287704338,0.85274120362896,0.8529983827784507,0.7836997706701965,0.9999999999999999,0.18421582469949924,0.33839737238407047,0.8676970342137321
ETV1,0.003926149968303299,0.0,0.16944787170032255,0.5309792578062561,1.0,0.2216126793649629,0.6753744419481852,0.7131442575781016,0.661855685637183,0.6541098954530156,0.1967877597985047,0.49310655112327884,0.4656089798514129,0.1441736442231245,0.4874490056668454,0.1314739009975867,0.7544258188262729,0.5605414969951449,0.29636358590049605,0.6116096093142415
ETV5,0.14702114905909144,0.08653392234660003,0.22402262160934583,0.0,0.2952108492126806,0.11607260582927993,0.9999999999999999,0.8130149807781419,0.20657795501468867,0.9172103881438753,0.05540177620406679,0.6374278429587013,0.6268582298564218,0.42228139551488464,0.20175832112280395,0.4604307463665778,0.018202539089361616,0.7318878492620778,0.7761156337838446,0.8436131580764985
ETV6,0.5645883363470331,0.0,0.8367269968809933,0.14658827887063558,0.342708300968953,0.03955190547500237,0.9726381115338941,1.0,0.7786803023744698,0.6470422672730523,0.5984952429208809,0.7681493275002723,0.2990532720118211,0.0098436869101457,0.40249157180953954,0.4730547537831442,0.2527401028390118,0.7742026310507156,0.11579202603320288,0.8138891841050232
FLI1,0.01005176838134079,0.016521735219665927,0.014255931112208077,0.020455104184873,0.0,0.015121840223712537,0.03890110640479784,0.049780090430916274,0.020654630296225045,0.004967535098162012,0.04397100433401023,0.008840419644896083,0.06301400627225447,0.1890188487859876,0.026826627653460944,0.06411123350862999,0.00871088228637679,0.14326096211573827,0.1263815257012163,1.0
FOS,0.013631162099210009,0.010796771464310689,0.04447313313980163,0.0,0.05096964071195682,0.014403024451357055,0.16809310277169737,0.08374132545305162,0.24228588902218684,0.1279552465182275,0.23959193539047896,0.30845549383459603,0.0412336042057246,1.0,0.21000575684065872,0.22281846554105497,0.03333845845566401,0.39462826287190633,0.16574718306211342,0.1784652594663612
FOSB,0.025951823018159837,0.021490961699581507,0.0414080371367445,0.0,0.005519408350120199,0.004952376334648991,0.019053436835013055,0.0022881998582063206,0.027671683073351442,0.007216453731335142,0.09096138884482698,0.10442491166648166,0.013299091242646232,1.0,0.0855418192899654,0.463747602201584,0.026311215094591753,0.3280633542061609,0.09594988616457613,0.11597085148656755
FOSL1,0.006497797365403264,0.0028300637097321488,0.0008881288986380105,0.011795880400763983,0.0,0.0029817925707608297,0.03644323879630101,0.07095147197418708,0.03542342305891626,0.06810170679841576,0.006810694925488675,0.00364174329250261,0.24930813332392124,0.5292751302867286,0.02446469184250564,0.9999999999999999,0.006897381405810392,0.0784879675889922,0.010500933525997954,0.0499631546524548
FOSL2,0.05048567310728026,0.06660633921993553,0.04293135727346528,0.015235450246391103,0.006326027418727415,0.0,0.10412124901325098,0.11523154407872757,0.24798001478355702,0.10958348582599486,0.3775001290541153,0.021794307029253036,0.4080098272880736,0.9842852042932081,0.6604993355783809,1.0,0.006409490545458751,0.2476119716768262,0.08318466129227366,0.2706368332040173
FOXB1,0.0,0.006053270778090689,0.018985558078451495,0.07246628490432697,0.055884222438274095,0.04228792032051179,0.05057579330387381,0.006539300197253253,0.11931982645244449,0.21821167212366713,0.32163089495744934,0.00092838557179864,0.3912754306190398,1.0,0.0967219438631921,0.31330812835546695,0.1282469003992122,0.1469475073324068,0.028148922431053672,0.11656328026959828
FOXC1,0.011438181033349606,0.006880197737471411,0.0,0.013973425885914319,0.00041610333808621844,0.000621885660222872,0.008913169024198479,0.012554259379530575,0.04637386464638002,0.16600096772991252,0.32875545087861024,0.0681239991640241,0.056867219144596595,1.0,0.1166438993531329,0.4844390049016548,0.03303263951350445,0.1657862497961142,0.036242807447123715,0.10386821679457064
FOXO1,0.8117595847008056,0.3459820105312774,0.22975783234550642,0.0,0.05253790996021311,0.14000110879527275,0.17358813008097396,0.2518024271469077,0.23491160722891438,0.7499658382368319,0.7534283601692857,0.9999999999999999,0.6448983977845303,0.3573427115420449,0.45462390870964675,0.6014400666879692,0.1271737116231665,0.7368706125095502,0.549890680319962,0.6196046336907869
FOXP1,0.42403035020926894,0.2270648935982427,0.1403899484144753,0.4916032062229039,0.1452860999308435,0.0,0.15523598924991008,0.22253623613284165,0.44395244150073154,0.25958253488443706,0.6049189298124716,0.2483534394269982,0.6401746068717787,0.3332694095772768,0.6959761149764784,0.5656091390146509,0.6871473192645217,0.3379048043649563,1.0,0.5393458121623432
FOXP2,0.09945435194390094,0.07580895667600816,0.021610473290060862,0.8676187387917191,0.15432078698024915,0.15606707799590613,0.07090568043118282,0.12141701454489112,0.3949036037835808,0.0,0.3889883984530197,0.013413259843071667,0.02420878830212505,0.019649615995123756,0.5275561791550806,0.03775358629259249,1.0,0.02225539457922405,0.06058857022485852,0.04158671918754151
GATA3,0.10057146852511892,0.06049745840617288,0.2504920308878987,0.15451480477474894,0.0,0.03543143459662158,0.05089918582659949,0.2502920382493586,0.030651886920498406,0.2177486339821974,0.28186332798670943,0.5286182104642615,0.504092903230931,0.991185181336882,0.7132693634499383,1.0,0.09595730406712763,0.6104371456222595,0.31653247853729155,0.1997423021517846
GATA4,0.02819218153381932,0.06189823130816302,0.0667819453061175,0.13783289197935245,0.04709093419018663,0.018743156903522157,0.06169557817530781,0.027972870088129417,0.3556747133798749,0.2685745291968621,0.2759331864898631,0.0,0.1872836415287008,0.2843042759089527,0.7960525122832373,0.5086941437688189,1.0,0.17798546855697173,0.07074151647384595,0.1792080109311998
GFI1,0.18555828420526826,0.015118570998753578,0.19831820101372039,0.34606598538767014,0.20705784730453403,0.2662217588221893,0.28758848931103714,0.2373200352137379,0.01680123674380196,0.4991520826201529,0.3264569716948013,0.25443344881973323,0.6466670400551886,0.3234823171307655,0.042355004156959,1.0,0.3565121694948857,0.5194560893830529,0.0,0.4283299403887943
GLI2,0.12342748678090289,0.035470671164558445,1.0,0.05649191254302892,0.0,0.12834522136215204,0.06552043844652836,0.0375423229281569,0.06121255435797246,0.4871045901681413,0.23088493127183612,0.3170972211051571,0.2396255473951736,0.1270980602324146,0.09680267316645401,0.13927732774153984,0.18346426910690244,0.3611486430854999,0.05162521778051832,0.5647376493991829
GLI3,0.003692687856215319,0.0,0.42051384348443643,0.046154894594835134,0.24688368204526992,0.5283742613122941,0.5716387832136108,0.27841884823921237,0.8363812079131504,0.9242970741734855,0.648003213048252,0.33223310827984326,0.4602416645928976,0.24842756659172124,0.5552817419322673,0.47253924884371296,0.832632551177064,0.848711833122561,0.17763437793950732,1.0
GLIS1,1.0,0.29073591359431944,0.05065135445444007,0.022518298493031018,0.0,0.10373424278607735,0.061657541374973666,0.10166808856505338,0.06931702799555861,0.01563525530784665,0.3103348369430393,0.05949078253686762,0.9377163512144038,0.09801298163449026,0.05263235740752203,0.43361747310075993,0.0799772753832519,0.13691863569329446,0.13571319299881196,0.01837265464737902
GMEB1,0.9923201908967803,0.6353991344094829,0.7120539501503531,0.9999999999999998,0.5927476851530198,0.561648996518762,0.7130207960981176,0.9279314381897812,0.6736753353957949,0.17092616839507946,0.3876289533123942,0.0,0.5845351575111467,0.4671668077869876,0.7440847105272861,0.8166890769442707,0.7375893340660238,0.2452410839757705,0.3547265621554925,0.5089555104917695
GRHL2,0.6423764932983893,0.41490573023254607,0.10378714304598505,0.041460601351420795,0.39136776381381966,0.5408321155919695,0.06616124816196342,0.2310262422860397,0.37794915392514394,0.23939704997500674,0.27565069339926285,0.0,0.672831503698081,0.9999999999999999,0.3096383532484208,0.20340985623171573,0.22294223338344896,0.2230242629170339,0.27143918416902224,0.21542368636070156
HES1,0.0,0.0010942950271339408,0.013390991588768515,0.001985121117446841,0.06380500717238731,0.003966743497989637,0.29835747558377335,0.135241174394149,0.034288744351783716,0.12543426974257318,0.20642685175818282,0.25601426548913525,0.03307862720022602,1.0,0.08480541264863745,0.18628123086907725,0.015311700304944815,0.19764279575736535,0.09648093938191035,0.07352162148319986
HES5,0.000619132657477752,0.0007393254685359677,0.00873531357848469,0.3520239700831953,0.29841448421945216,0.05944115941768633,0.07749251309058657,0.016460178073991964,0.06135365566408477,0.017154356954272223,0.1488176586436688,0.14352344168044762,0.0,0.3300686566996806,0.09346648295006714,0.015108157004002837,1.0,0.048589417548053744,0.10368288258206426,0.03686654090554131
HES6,0.06824677073255399,0.11767833205369309,0.11479973044387912,0.9999999999999999,0.3468648337927283,0.21458636621275914,0.09735837406442142,0.09358075092154226,0.24819478701104114,0.05210610106824756,0.03975316200401052,0.03433137482960861,0.0,0.03573165983893426,0.05620594675843891,0.004564713653842421,0.46751673064766053,0.04326447422510357,0.08530046073028799,0.1699134906117843
HESX1,0.2452381586188896,0.7453655673737496,0.06430114958251104,0.8523239274142953,0.46918143858596634,0.37105498944491716,0.26937425182359304,0.14155099624378292,0.6140520497563351,0.28827472942493787,0.628315408201138,0.41725149820381474,0.0,0.0945062452018362,0.682244148842956,0.036650176331339546,1.0000000000000002,0.1980644782854029,0.32784362836217756,0.47279703785594945
HEY2,0.0,0.0019513414280240165,0.05081089703688994,0.009520909779601424,0.1511247778044028,0.06392856611931033,1.0,0.8054260446641918,0.3898894869788667,0.17710562468405244,0.2971180162430843,0.030515652674191648,0.06494535072774837,0.3278572001242443,0.37621876062168114,0.1525647358670796,0.007463413643951504,0.12497129255994928,0.30088617667409884,0.20076519646437052
HEYL,0.005536849423526247,0.026704786241611475,0.0,0.03827142935107482,0.006540942923407031,0.7747856533493674,0.002460022201107614,0.01926264382358458,0.05431834462532085,0.01286620599103387,1.0,0.08283641667160108,0.009671134605637855,0.01728658338721465,0.03833704137056261,0.01059156562646999,0.16695943945371536,0.011337310560012583,0.027311749630276133,0.0011733409627118392
HHEX,0.0883316030310785,0.0785490309797708,0.059116872207597204,0.06080319699214722,0.0926490246232697,0.0880409395251445,0.13232399630564665,0.02798548253151286,0.02716732590767972,0.09362325767754655,0.13532540926642164,0.006680174053800275,0.0,0.370027991494428,0.19191911415835114,0.07289417175063173,0.023280691848495287,0.30877993132267184,0.35309816836794583,0.9999999999999999
HIF1A,0.02315225184613101,0.0,0.03206344911642561,0.17328213213650706,0.22505843369127515,0.2346280748053588,0.3989091564702597,0.29823149512875313,0.15470568807610052,0.47068612344498906,0.6902804229739885,0.8673433182354856,0.653010017572803,0.8151289468080524,0.2594925438955257,0.9999999999999999,0.10043383705902847,0.5886471876899473,0.09383309262156475,0.4144794611601562
HLX,0.2965409315612101,0.3132208648505987,0.40816210392630453,0.05116455256998155,0.10389022675346711,0.3452153372289825,0.0,0.03899183055504506,0.11957598391332315,0.17454286197298152,0.48049148228034216,0.2606861288401204,0.05341384730214051,1.0,0.20372366827348404,0.6505835032584214,0.17600682506435728,0.4907497455751167,0.3360237622847877,0.5752580110713911
HMGA2,0.0,0.000580332848208498,0.0017651535812246775,0.0032751183068250034,0.09280346338045084,0.005120956564467755,0.5398693898210568,0.6462039734871772,0.030804175891559607,0.01977270487437606,0.007262726495560222,0.0008028259855517349,0.3862590985224135,0.1571503891225602,0.01862765819018735,0.9999999999999999,0.00779778897119497,0.0504755621705516,0.00733375669225224,0.02163490076925237
HNF4G,0.014840116217919187,0.07653237588107874,0.3240358409783294,0.05907224296211909,0.13600402814840243,0.018888452958177735,0.11755397616019937,0.0014188018957205575,0.14155467764525764,0.6691792621642765,0.4350444062655226,1.0000000000000002,0.0,0.036893014165985116,0.2113496186832037,0.21679645521022695,0.24021185896144462,0.55788708406044,0.11204851720495716,0.5255093223275916
